id,partnerid,sessionid,males,females,ageyo,sex,impfa,impba,impku,impam,impin,impcr,impco,imphp,impha,gfattrac,gbattrac,goattrac,gintelligent,gconfident,gkindunder,gambitious,gfunny,gcreative,gpercfunny,prefa,preba,preku,pream,prein,preco,precr,prehp,preha
14000035,14001035,1403,4,5,18.08333333,M,6,4,5,5,5,NA,NA,NA,NA,6,6,6,4,4,5,5,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14000041,14001041,1404,5,5,20.91666667,M,5,5,5,4,4,NA,NA,NA,NA,5,5,5,5,6,6,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14000041,14001042,1404,5,5,20.91666667,M,5,5,5,4,4,NA,NA,NA,NA,4,5,5,4,5,4,5,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14000041,14001043,1404,5,5,20.91666667,M,5,5,5,4,4,NA,NA,NA,NA,5,5,5,6,6,6,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14000041,14001044,1404,5,5,20.91666667,M,5,5,5,4,4,NA,NA,NA,NA,6,4,5,4,4,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14000041,14001045,1404,5,5,20.91666667,M,5,5,5,4,4,NA,NA,NA,NA,5,5,5,5,5,6,5,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14000042,14001041,1404,5,5,17.91666667,M,6,5,6,6,5,NA,NA,NA,NA,2,3,3,6,5,5,5,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14000042,14001042,1404,5,5,17.91666667,M,6,5,6,6,5,NA,NA,NA,NA,3,5,3,5,2,3,2,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14000042,14001043,1404,5,5,17.91666667,M,6,5,6,6,5,NA,NA,NA,NA,5,5,NA,5,6,5,5,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14000042,14001044,1404,5,5,17.91666667,M,6,5,6,6,5,NA,NA,NA,NA,3,3,3,6,2,5,3,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14000042,14001045,1404,5,5,17.91666667,M,6,5,6,6,5,NA,NA,NA,NA,6,6,6,6,6,6,5,7,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14000043,14001041,1404,5,5,18.16666667,M,5,5,6,5,5,NA,NA,NA,NA,4,5,5,6,6,6,5,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14000043,14001042,1404,5,5,18.16666667,M,5,5,6,5,5,NA,NA,NA,NA,4,6,5,5,5,5,5,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14000043,14001043,1404,5,5,18.16666667,M,5,5,6,5,5,NA,NA,NA,NA,5,5,5,5,5,5,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14000043,14001044,1404,5,5,18.16666667,M,5,5,6,5,5,NA,NA,NA,NA,6,5,6,6,4,6,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14000043,14001045,1404,5,5,18.16666667,M,5,5,6,5,5,NA,NA,NA,NA,6,6,6,5,5,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14000044,14001041,1404,5,5,20.83333333,M,5,5,6,6,6,NA,NA,NA,NA,5,6,5,5,5,6,5,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14000044,14001042,1404,5,5,20.83333333,M,5,5,6,6,6,NA,NA,NA,NA,4,6,4,3,5,4,4,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14000044,14001043,1404,5,5,20.83333333,M,5,5,6,6,6,NA,NA,NA,NA,6,7,6,6,6,NA,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14000044,14001044,1404,5,5,20.83333333,M,5,5,6,6,6,NA,NA,NA,NA,6,7,5,5,5,5,5,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14000044,14001045,1404,5,5,20.83333333,M,5,5,6,6,6,NA,NA,NA,NA,6,5,6,5,5,5,5,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14000045,14001041,1404,5,5,20.91666667,M,5,5,5,6,6,NA,NA,NA,NA,5,6,6,7,6,7,7,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14000045,14001042,1404,5,5,20.91666667,M,5,5,5,6,6,NA,NA,NA,NA,4,6,6,5,6,5,7,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14000045,14001043,1404,5,5,20.91666667,M,5,5,5,6,6,NA,NA,NA,NA,6,6,6,6,6,5,6,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
